"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000051951"	22.478090017245	4.21815576026032	0.806214580513871	2.38069241393202e-07	1.43277780578706e-06
"ENSMUSG00000025900"	12.0695013432155	-2.15147280946647	0.610563514005302	0.000277040597293074	0.00115329444546943
"ENSMUSG00000033845"	1380.35711848606	-0.88730178644725	0.0973175195391211	1.91938682630678e-09	1.40781516540391e-08
"ENSMUSG00000025903"	2522.97514786434	-1.89999921267531	0.14956610454315	6.21182358359235e-27	1.37497391393411e-25
"ENSMUSG00000002459"	11.5518205132571	2.06689195037383	0.708783793111797	0.00163377348696282	0.00600636988606216
"ENSMUSG00000033793"	1921.19192311764	-0.901012873061952	0.084345416535671	1.92098347326313e-12	1.79812426202258e-11
"ENSMUSG00000033740"	4.68487408444549	4.66395256721953	2.6141381266122	0.00103075007080915	0.00391776243727902
"ENSMUSG00000097797"	25.3183081067603	1.50076788064485	0.433519621134541	0.00113920083610114	0.00430069497523376
"ENSMUSG00000025909"	12.8992232874555	-3.85395782486725	0.702815940325857	4.11887487911961e-08	2.6937321098172e-07
"ENSMUSG00000103411"	4.5230481943314	-2.93590516772227	1.15569143018929	0.00189584191562966	0.00687589044229829
"ENSMUSG00000061024"	497.558832612376	-0.885942963369678	0.141859532319075	2.25202729700534e-05	0.000108398227696805
"ENSMUSG00000025911"	3390.47686452624	-4.02710091209005	0.400002922404786	1.17868013460909e-21	1.97484186994445e-20
"ENSMUSG00000081441"	8.13824570652823	-2.99500225957213	0.793704647582462	5.63424668162326e-05	0.000255918782565332
"ENSMUSG00000067879"	18.7179011202305	4.31172281341779	0.895557170250138	1.78986663416299e-06	9.77619990398537e-06
"ENSMUSG00000046101"	31.3148268142514	-1.79864973597434	0.509564324158118	0.000482627773784747	0.00193241461091942
"ENSMUSG00000048960"	376.918118420998	0.694212297859538	0.168835507311891	0.0104472754937745	0.0324609697938173
"ENSMUSG00000016918"	499.946891854968	3.03331756307325	0.302607219725348	1.76324727591484e-20	2.78109919917247e-19
"ENSMUSG00000025938"	14.5506183028003	3.88549972166346	0.896503280839143	1.24159650376326e-05	6.1608123339366e-05
"ENSMUSG00000025937"	9228.60303808817	-2.47140317416162	0.121302500827745	2.09783311028938e-71	3.74824037481625e-69
"ENSMUSG00000102982"	59.4028692146243	-1.86393543488513	0.321712920749211	2.11645506352263e-07	1.2778834114278e-06
"ENSMUSG00000025930"	6.59481491162247	5.64731675721344	2.47759206266102	4.57582905956986e-05	0.000211062714201639
"ENSMUSG00000092083"	11.4686781205841	2.76672158274996	0.776052783092746	0.000188139147375275	0.000800209430104625
"ENSMUSG00000100652"	2.27688959654499	2.50277611907868	2.85441021937622	0.0141301282629913	0.0424912191498113
"ENSMUSG00000067795"	18.859831977039	1.70964314826085	0.575513906509432	0.00216314024843951	0.00775840281173085
